file,dimensions,size,used on,alt text
reel-live-wedding-2.jpg,1013x1800,603 KB,About.dc.html; Blog.dc.html; BlogPost.dc.html; Collections.dc.html; Enquire.dc.html; Gallery.dc.html; Kind Words.dc.html; Live Wedding Painting.dc.html; Privacy.dc.html; index.html,Live painting at a mandap
reel-portrait.jpg,960x960,89 KB,About.dc.html; Blog.dc.html; BlogPost.dc.html; Collections.dc.html; Enquire.dc.html; Gallery.dc.html; Kind Words.dc.html; Live Wedding Painting.dc.html; Privacy.dc.html; index.html,Portrait commission
reel-spiritual.jpg,1012x1800,556 KB,About.dc.html; Blog.dc.html; BlogPost.dc.html; Collections.dc.html; Enquire.dc.html; Gallery.dc.html; Kind Words.dc.html; Live Wedding Painting.dc.html; Privacy.dc.html; index.html,Spiritual painting
reveal-hubli-haldi.jpg,1013x1800,603 KB,Gallery.dc.html,A haldi ceremony painting revealed in Hubli
reveal-kerala-artist.jpg,1013x1800,266 KB,Gallery.dc.html; Live Wedding Painting.dc.html,Shivani beside a finished live wedding painting
reveal-kerala-wreath.jpg,1013x1800,298 KB,Gallery.dc.html; Live Wedding Painting.dc.html; index.html,The finished painting held up beside a floral wreath
reveal-movement-yellow.jpg,1013x1800,429 KB,Collections.dc.html; Gallery.dc.html,A finished commission held up at the celebration
reveal-mumbai-reception.jpg,1013x1800,367 KB,Gallery.dc.html; Live Wedding Painting.dc.html,A reception painting revealed in Mumbai
reveal-punjabi-sword.jpg,1013x1800,509 KB,Gallery.dc.html; Kind Words.dc.html; Live Wedding Painting.dc.html,A Punjabi wedding painting revealed to the couple
shivani-painting-live.jpg,1013x1800,538 KB,About.dc.html; Blog.dc.html; Gallery.dc.html; Live Wedding Painting.dc.html,Shivani Jaiswal painting
shivani-painting-mandap-live.jpg,1013x1800,383 KB,About.dc.html; Gallery.dc.html; Live Wedding Painting.dc.html,Shivani painting live at a wedding
shivani-spiritual-painting.jpg,1012x1800,556 KB,Collections.dc.html,Spiritual painting in progress
shivani-with-painting.jpg,1013x1800,333 KB,About.dc.html; Collections.dc.html; Gallery.dc.html,Shivani with a finished painting
spiritual-painting-durga.jpg,1350x1800,1015 KB,Gallery.dc.html; index.html,A Durga painting on the easel at a pandal
spiritual-painting-khajrana.jpg,1013x1800,578 KB,index.html,A devotional painting of a temple deity
